tanggal,channel,campaign,tayangan,klik,biaya,konversi,pendapatan,engagement
2026-06-20,Instagram,IG-Prospecting-Video,319410,5377,18.428.206,122.02,24534532,20637
2026-06-20,Instagram,IG-Retargeting-Carousel,147653,2218,7.108.417,50.18,7977261,4421
2026-06-20,Instagram,IG-Brand-Awareness,396016,6507,22.755.490,181.72,28651786,23876
2026-06-20,TikTok,TT-Spark-Ads-KOL,444486,9198,15.744.050,223.07,25984002,11039
2026-06-20,TikTok,TT-Non-Branded-UGC,564479,15212,27.678.850,332.77,52297286,21973
2026-06-20,TikTok,TT-Live-Shopping,448149,11265,20.748.432,261.98,37921488,9990
2026-06-20,Google Ads,GAD-Search-Brand,107487,2772,15.861.413,102.23,25952357,5566
2026-06-20,Google Ads,GAD-Search-NonBrand,141196,3868,28.438.890,145.71,42050979,7124
2026-06-20,Google Ads,GAD-PMax-Catalog,111625,2994,22.322.467,120.57,34704904,5341
2026-06-20,YouTube,YT-Instream-Skippable,159002,1677,3.460.425,20.57,4148608,5309
2026-06-20,YouTube,YT-Shorts-Bumper,82914,906,2.276.467,11.71,2431104,5450
2026-06-20,Email,EM-Newsletter-Mingguan,56573,2339,2.606.565,126.28,31960993,3671
2026-06-20,Email,EM-Abandoned-Cart,51044,2815,2.963.755,147.92,30761670,1301
2026-06-20,Email,EM-Winback-90d,84043,3746,4.335.093,149.94,43134923,3904
2026-06-20,Marketplace,MP-Flash-Sale,415534,7021,8.884.552,515.13,82874532,13854
2026-06-20,Marketplace,MP-Sponsored-Product,232380,4753,6.479.632,304.03,54502270,7708
2026-06-20,Marketplace,MP-Affiliate-KOL,202201,4947,5.577.532,389.05,64742851,10201
2026-06-21,Instagram,IG-Prospecting-Video,197928,3719,12.010.269,113.94,17921222,7167
2026-06-21,Instagram,IG-Retargeting-Carousel,143348,3054,9.207.512,95.86,15434130,9160
2026-06-21,Instagram,IG-Brand-Awareness,440973,8112,27.988.833,166.22,34380292,11650
2026-06-21,TikTok,TT-Spark-Ads-KOL,375046,8155,14.340.881,190.56,23245725,17614
2026-06-21,TikTok,TT-Non-Branded-UGC,440737,9781,18.397.491,241.1,31930792,20220
2026-06-21,TikTok,TT-Live-Shopping,174716,3922,6.487.360,79.99,9788968,4114
2026-06-21,Google Ads,GAD-Search-Brand,190246,6854,38.815.553,352.01,88045544,10168
2026-06-21,Google Ads,GAD-Search-NonBrand,98549,3587,23.125.804,160.32,48319137,5950
2026-06-21,Google Ads,GAD-PMax-Catalog,92351,2784,17.916.544,114.93,34041901,4956
2026-06-21,YouTube,YT-Instream-Skippable,159273,1454,3.868.646,19.07,3752096,4700
2026-06-21,YouTube,YT-Shorts-Bumper,103851,899,2.432.093,11.17,2357892,6550
2026-06-21,Email,EM-Newsletter-Mingguan,58340,3220,4.407.139,198.65,55983181,3642
2026-06-21,Email,EM-Abandoned-Cart,36935,1504,1.566.324,74.47,17562628,2558
2026-06-21,Email,EM-Winback-90d,50142,2265,3.090.917,113.51,32647817,2396
2026-06-21,Marketplace,MP-Flash-Sale,258949,4996,6.137.292,410.14,66100348,14863
2026-06-21,Marketplace,MP-Sponsored-Product,101403,2132,2.295.356,166.32,30581838,2434
2026-06-21,Marketplace,MP-Affiliate-KOL,141485,3179,3.380.241,178.94,32217037,4572
2026-06-22,Instagram,IG-Prospecting-Video,302084,5408,17.423.824,150.59,32795072,9127
2026-06-22,Instagram,IG-Retargeting-Carousel,299202,5304,15.955.888,154.39,27438227,17232
2026-06-22,Instagram,IG-Brand-Awareness,113579,2520,7.032.062,85.04,14546329,3778
2026-06-22,TikTok,TT-Spark-Ads-KOL,535098,14791,23.889.583,267.88,40374822,29525
2026-06-22,TikTok,TT-Non-Branded-UGC,405626,10335,20.371.968,148.11,18666891,21567
2026-06-22,TikTok,TT-Live-Shopping,410544,8337,15.246.897,128.13,15988774,20626
2026-06-22,Google Ads,GAD-Search-Brand,161854,5287,34.246.513,198.78,62161467,10084
2026-06-22,Google Ads,GAD-Search-NonBrand,64946,1833,12.886.920,57.9,16651136,2150
2026-06-22,Google Ads,GAD-PMax-Catalog,188960,5688,32.262.606,180.45,56055016,12320
2026-06-22,YouTube,YT-Instream-Skippable,106325,1043,2.224.321,12.15,2443200,6906
2026-06-22,YouTube,YT-Shorts-Bumper,140041,1543,3.424.232,18.69,3478042,8263
2026-06-22,Email,EM-Newsletter-Mingguan,73927,3565,4.829.409,151.81,41993860,5087
2026-06-22,Email,EM-Abandoned-Cart,81493,3036,3.459.902,178.86,50471880,4899
2026-06-22,Email,EM-Winback-90d,83589,3486,3.691.813,210.36,58323652,5260
2026-06-22,Marketplace,MP-Flash-Sale,129722,2681,3.502.141,157.48,22692992,2748
2026-06-22,Marketplace,MP-Sponsored-Product,102785,2473,2.771.037,202.88,33789246,4110
2026-06-22,Marketplace,MP-Affiliate-KOL,298727,7375,10.099.535,383.97,54307164,20351
2026-06-23,Instagram,IG-Prospecting-Video,155329,2798,8.454.239,83.72,16451575,7079
2026-06-23,Instagram,IG-Retargeting-Carousel,227141,3790,10.314.490,112.31,24392464,10658
2026-06-23,Instagram,IG-Brand-Awareness,362375,7161,19.960.349,176.95,35435686,13230
2026-06-23,TikTok,TT-Spark-Ads-KOL,261193,6820,11.573.067,118.58,15542389,10479
2026-06-23,TikTok,TT-Non-Branded-UGC,194713,4524,8.577.167,108.93,16765904,9887
2026-06-23,TikTok,TT-Live-Shopping,230900,4434,7.813.646,76.48,10630618,12177
2026-06-23,Google Ads,GAD-Search-Brand,132687,3642,26.523.910,154.54,46744032,3780
2026-06-23,Google Ads,GAD-Search-NonBrand,66038,2156,15.352.883,84.61,25235057,3542
2026-06-23,Google Ads,GAD-PMax-Catalog,81464,2045,13.193.290,75.98,23365304,1926
2026-06-23,YouTube,YT-Instream-Skippable,83575,697,1.669.788,11.05,2171468,4413
2026-06-23,YouTube,YT-Shorts-Bumper,35255,371,870.638,4.2,804209,2394
2026-06-23,Email,EM-Newsletter-Mingguan,43867,1815,2.150.064,112.64,30561371,2342
2026-06-23,Email,EM-Abandoned-Cart,86318,4685,5.812.525,296.37,78366948,3905
2026-06-23,Email,EM-Winback-90d,74295,3961,4.716.564,234.11,52854811,2404
2026-06-23,Marketplace,MP-Flash-Sale,236702,5013,5.608.914,351.22,47750177,8116
2026-06-23,Marketplace,MP-Sponsored-Product,120807,2578,2.843.858,136.28,23086236,6683
2026-06-23,Marketplace,MP-Affiliate-KOL,77298,1651,1.806.866,103.41,15980613,5043
2026-06-24,Instagram,IG-Prospecting-Video,309977,6553,20.216.678,199.52,31450955,11651
2026-06-24,Instagram,IG-Retargeting-Carousel,390981,8545,29.374.566,217.83,41956736,19613
2026-06-24,Instagram,IG-Brand-Awareness,149880,2702,8.220.144,53.8,10826416,6028
2026-06-24,TikTok,TT-Spark-Ads-KOL,173573,3545,5.475.896,73.57,9594274,8370
2026-06-24,TikTok,TT-Non-Branded-UGC,126474,2593,4.037.796,49.46,6415944,3868
2026-06-24,TikTok,TT-Live-Shopping,263172,6011,11.896.713,132.89,16458922,6341
2026-06-24,Google Ads,GAD-Search-Brand,54636,2032,13.805.611,80.45,24222002,2873
2026-06-24,Google Ads,GAD-Search-NonBrand,220049,6001,34.939.791,191.86,45977876,11767
2026-06-24,Google Ads,GAD-PMax-Catalog,138638,4641,27.158.112,228.39,65036998,7957
2026-06-24,YouTube,YT-Instream-Skippable,50270,566,1.165.806,6.42,1292766,2708
2026-06-24,YouTube,YT-Shorts-Bumper,137978,1424,3.611.832,15.78,3544233,3463
2026-06-24,Email,EM-Newsletter-Mingguan,77994,3732,5.128.223,155.41,41921681,2914
2026-06-24,Email,EM-Abandoned-Cart,44294,2042,2.707.863,97.67,26671040,1120
2026-06-24,Email,EM-Winback-90d,85728,4462,5.250.747,259.2,68852624,5853
2026-06-24,Marketplace,MP-Flash-Sale,144384,3078,3.622.639,200.15,34307767,4825
2026-06-24,Marketplace,MP-Sponsored-Product,301278,5281,5.850.016,417.36,65508889,15220
2026-06-24,Marketplace,MP-Affiliate-KOL,129565,3103,3.401.817,168.8,29544725,4796
2026-06-25,Instagram,IG-Prospecting-Video,567613,9561,34.708.090,187.83,30577349,31788
2026-06-25,Instagram,IG-Retargeting-Carousel,381938,7605,24.267.622,218.53,45583302,9416
2026-06-25,Instagram,IG-Brand-Awareness,242574,4140,13.140.935,115.15,22066315,10012
2026-06-25,TikTok,TT-Spark-Ads-KOL,525376,13632,22.707.873,232.85,27423970,15566
2026-06-25,TikTok,TT-Non-Branded-UGC,218225,5787,9.529.787,93.66,12603341,12271
2026-06-25,TikTok,TT-Live-Shopping,692228,15171,24.802.568,232.13,28484612,20055
2026-06-25,Google Ads,GAD-Search-Brand,72590,2047,13.519.448,110.56,32417728,1910
2026-06-25,Google Ads,GAD-Search-NonBrand,284320,10128,65.227.476,453.34,122000323,8307
2026-06-25,Google Ads,GAD-PMax-Catalog,93878,2884,18.189.512,145.63,34186716,4832
2026-06-25,YouTube,YT-Instream-Skippable,44904,437,1.205.070,5.61,1051144,2614
2026-06-25,YouTube,YT-Shorts-Bumper,152931,1293,3.058.158,18.79,3964512,9636
2026-06-25,Email,EM-Newsletter-Mingguan,105153,5071,6.523.762,280.69,79603570,3196
2026-06-25,Email,EM-Abandoned-Cart,45820,1819,1.904.109,78.43,16016872,1949
2026-06-25,Email,EM-Winback-90d,71764,2947,3.751.225,171.14,41439110,3902
2026-06-25,Marketplace,MP-Flash-Sale,430708,9497,12.879.524,676.91,104794885,20342
2026-06-25,Marketplace,MP-Sponsored-Product,344298,8175,8.826.709,412.94,61296576,19779
2026-06-25,Marketplace,MP-Affiliate-KOL,253691,4527,5.757.914,327.04,59811917,11422
2026-06-26,Instagram,IG-Prospecting-Video,300502,4536,13.741.693,116.48,20204286,7382
2026-06-26,Instagram,IG-Retargeting-Carousel,639087,12179,44.812.752,403.07,80928576,21394
2026-06-26,Instagram,IG-Brand-Awareness,157851,2886,10.387.192,83.16,14053915,7777
2026-06-26,TikTok,TT-Spark-Ads-KOL,503883,10116,17.298.099,180.94,25902746,31688
2026-06-26,TikTok,TT-Non-Branded-UGC,358942,7885,15.527.799,190.24,26179700,15342
2026-06-26,TikTok,TT-Live-Shopping,306227,8732,15.785.866,161.31,25462333,16194
2026-06-26,Google Ads,GAD-Search-Brand,198226,5377,37.640.005,214.32,61393506,11497
2026-06-26,Google Ads,GAD-Search-NonBrand,121649,4416,30.412.789,183.81,43964473,8352
2026-06-26,Google Ads,GAD-PMax-Catalog,200485,5366,35.424.192,237.3,56131101,13956
2026-06-26,YouTube,YT-Instream-Skippable,184506,1485,3.561.321,25.1,5802607,8385
2026-06-26,YouTube,YT-Shorts-Bumper,96571,1094,2.665.158,13.54,2797797,6383
2026-06-26,Email,EM-Newsletter-Mingguan,79562,4193,5.469.068,192.86,46066199,5308
2026-06-26,Email,EM-Abandoned-Cart,78031,3278,4.035.724,152.82,43997297,3471
2026-06-26,Email,EM-Winback-90d,38290,1652,2.008.511,88.78,21506026,1382
2026-06-26,Marketplace,MP-Flash-Sale,162623,3513,4.564.274,197.51,26490205,9308
2026-06-26,Marketplace,MP-Sponsored-Product,357897,7173,9.436.329,511.9,94681439,16022
2026-06-26,Marketplace,MP-Affiliate-KOL,102014,2220,2.962.467,174.49,27156618,4723
2026-06-27,Instagram,IG-Prospecting-Video,468616,8357,23.970.080,241.22,45264381,32082
2026-06-27,Instagram,IG-Retargeting-Carousel,388704,7622,26.968.594,241.47,51406586,15160
2026-06-27,Instagram,IG-Brand-Awareness,378060,7720,21.263.995,246.84,39909515,19492
2026-06-27,TikTok,TT-Spark-Ads-KOL,1017282,26825,42.467.716,503.9,71291537,64729
2026-06-27,TikTok,TT-Non-Branded-UGC,553987,15441,30.263.476,227.46,28603687,21463
2026-06-27,TikTok,TT-Live-Shopping,305740,7531,12.214.122,169.69,19658645,19427
2026-06-27,Google Ads,GAD-Search-Brand,260974,9426,60.555.812,328.09,82554118,8551
2026-06-27,Google Ads,GAD-Search-NonBrand,100970,3632,21.187.863,171.28,46113615,3764
2026-06-27,Google Ads,GAD-PMax-Catalog,291342,8758,62.825.175,326.48,80472862,11431
2026-06-27,YouTube,YT-Instream-Skippable,138523,1354,3.729.442,20.21,4045493,9544
2026-06-27,YouTube,YT-Shorts-Bumper,173124,1688,4.348.684,26.64,4850998,8712
2026-06-27,Email,EM-Newsletter-Mingguan,101228,4258,5.274.058,258.3,60337236,5247
2026-06-27,Email,EM-Abandoned-Cart,109199,5467,7.226.352,310.2,79651082,7117
2026-06-27,Email,EM-Winback-90d,98293,4414,5.666.629,240.62,50908172,3416
2026-06-27,Marketplace,MP-Flash-Sale,382963,6859,9.394.911,459.46,73765646,25151
2026-06-27,Marketplace,MP-Sponsored-Product,427844,10152,13.302.033,659.46,113592527,15803
2026-06-27,Marketplace,MP-Affiliate-KOL,192330,3459,4.598.667,283.67,48519126,13270
2026-06-28,Instagram,IG-Prospecting-Video,609698,10674,29.175.434,328.83,63132302,26058
2026-06-28,Instagram,IG-Retargeting-Carousel,444976,8511,30.830.827,266.04,43701682,14102
2026-06-28,Instagram,IG-Brand-Awareness,150186,2847,8.347.928,92.77,14967511,9190
2026-06-28,TikTok,TT-Spark-Ads-KOL,596076,13781,28.126.907,216.51,27336890,26604
2026-06-28,TikTok,TT-Non-Branded-UGC,228830,4692,8.876.736,89.1,13055444,15400
2026-06-28,TikTok,TT-Live-Shopping,408372,8447,13.374.843,156.98,21162588,16501
2026-06-28,Google Ads,GAD-Search-Brand,244249,7180,52.975.300,299.69,92317521,6098
2026-06-28,Google Ads,GAD-Search-NonBrand,233563,8624,54.345.311,343.12,84272486,6098
2026-06-28,Google Ads,GAD-PMax-Catalog,264442,8731,58.408.432,404.47,92948552,15692
2026-06-28,YouTube,YT-Instream-Skippable,67114,654,1.694.603,7.21,1397371,2067
2026-06-28,YouTube,YT-Shorts-Bumper,161025,1314,2.683.404,22.91,5534836,4385
2026-06-28,Email,EM-Newsletter-Mingguan,31216,1249,1.285.563,70.93,14558991,1857
2026-06-28,Email,EM-Abandoned-Cart,40728,1629,2.097.023,64.72,16062451,2333
2026-06-28,Email,EM-Winback-90d,70165,3245,3.898.092,134.03,37987259,1555
2026-06-28,Marketplace,MP-Flash-Sale,379740,8043,10.995.128,515.74,69650532,16689
2026-06-28,Marketplace,MP-Sponsored-Product,228558,4781,5.003.136,382.58,52082357,11523
2026-06-28,Marketplace,MP-Affiliate-KOL,98790,2185,2.484.510,147.06,27309622,4596
2026-06-29,Instagram,IG-Prospecting-Video,262588,4079,14.434.362,120.48,24022489,15348
2026-06-29,Instagram,IG-Retargeting-Carousel,310515,5633,17.155.253,128.25,23934002,12669
2026-06-29,Instagram,IG-Brand-Awareness,124715,2460,7.050.545,61.13,13265455,2913
2026-06-29,TikTok,TT-Spark-Ads-KOL,405466,8161,16.063.391,179.3,24725776,19999
2026-06-29,TikTok,TT-Non-Branded-UGC,336819,6862,12.964.567,123.14,18085040,21356
2026-06-29,TikTok,TT-Live-Shopping,499484,12469,22.969.013,223.5,27273957,26391
2026-06-29,Google Ads,GAD-Search-Brand,80313,2834,19.869.741,113.32,31916445,4848
2026-06-29,Google Ads,GAD-Search-NonBrand,246248,8606,58.333.687,393.07,90508446,16364
2026-06-29,Google Ads,GAD-PMax-Catalog,190005,5137,31.478.231,245.21,63675062,3858
2026-06-29,YouTube,YT-Instream-Skippable,137572,1255,3.132.494,14.55,2629824,7884
2026-06-29,YouTube,YT-Shorts-Bumper,55715,496,1.268.521,6.62,1558715,2695
2026-06-29,Email,EM-Newsletter-Mingguan,19984,793,1.001.630,44.09,10002403,1061
2026-06-29,Email,EM-Abandoned-Cart,49452,2068,2.194.520,122.92,29513968,1689
2026-06-29,Email,EM-Winback-90d,63043,3094,3.595.940,122.28,31101177,1285
2026-06-29,Marketplace,MP-Flash-Sale,128820,2313,2.632.121,131.81,17421211,7388
2026-06-29,Marketplace,MP-Sponsored-Product,107442,2440,3.220.951,160.09,28094159,2536
2026-06-29,Marketplace,MP-Affiliate-KOL,237268,4023,5.352.643,323.59,52739661,11548
